STATEFP,SLDLST,GEOID,NAMELSAD,LSAD,LSY,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"12","081","12081",State House District 81,LL,"2016",G5220,N,"3322126230","615825571","+26.5961756","-080.5794047"
"12","082","12082",State House District 82,LL,"2016",G5220,N,"1388518576","482651486","+27.0580765","-080.3983502"
"12","083","12083",State House District 83,LL,"2016",G5220,N,"272825261","122961871","+27.2222523","-080.2932902"
"12","084","12084",State House District 84,LL,"2016",G5220,N,"317022956","286420375","+27.3852726","-080.3030329"
"12","085","12085",State House District 85,LL,"2016",G5220,N,"926085333","59107556","+26.8485166","-080.2736741"
"12","086","12086",State House District 86,LL,"2016",G5220,N,"245717976","3574713","+26.6742223","-080.2362145"
"12","087","12087",State House District 87,LL,"2016",G5220,N,"79308201","935234","+26.6532092","-080.0946397"
"12","088","12088",State House District 88,LL,"2016",G5220,N,"91414023","8067170","+26.7353541","-080.1511560"
"12","089","12089",State House District 89,LL,"2016",G5220,N,"121300068","333587448","+26.5307444","-080.0468436"
"12","090","12090",State House District 90,LL,"2016",G5220,N,"107331521","1781193","+26.5756989","-080.1274475"
"12","091","12091",State House District 91,LL,"2016",G5220,N,"133724976","542589","+26.4421060","-080.1361320"
"12","092","12092",State House District 92,LL,"2016",G5220,N,"100019793","6110610","+26.2467985","-080.1535179"
"12","093","12093",State House District 93,LL,"2016",G5220,N,"81171589","171696586","+26.2319120","-080.0892170"
"12","094","12094",State House District 94,LL,"2016",G5220,N,"70819809","553663","+26.1341028","-080.1774036"
"12","095","12095",State House District 95,LL,"2016",G5220,N,"49214156","1041897","+26.1805631","-080.2325984"
"12","096","12096",State House District 96,LL,"2016",G5220,N,"104589734","5944400","+26.2901757","-080.2227093"
"12","097","12097",State House District 97,LL,"2016",G5220,N,"1268246639","6449315","+26.2480353","-080.6053221"
"12","098","12098",State House District 98,LL,"2016",G5220,N,"114141649","3200751","+26.1064703","-080.2918618"
"12","099","12099",State House District 99,LL,"2016",G5220,N,"123317686","4661218","+26.0546929","-080.2297626"
"12","100","12100",State House District 100,LL,"2016",G5220,N,"62281350","171573351","+25.9866746","-080.1176695"
"12","101","12101",State House District 101,LL,"2016",G5220,N,"61714562","1408313","+26.0007162","-080.2010762"
"12","102","12102",State House District 102,LL,"2016",G5220,N,"68546878","3095531","+25.9665942","-080.2724777"
"12","103","12103",State House District 103,LL,"2016",G5220,N,"99347243","12666774","+25.9078984","-080.3495201"
"12","104","12104",State House District 104,LL,"2016",G5220,N,"1031933925","7793953","+26.0487017","-080.6664352"
"12","105","12105",State House District 105,LL,"2016",G5220,N,"4351369137","88622079","+26.0228204","-081.0812494"
"12","106","12106",State House District 106,LL,"2016",G5220,N,"587679181","737122733","+25.9861426","-081.6624156"
"12","107","12107",State House District 107,LL,"2016",G5220,N,"53547374","3149066","+25.9388933","-080.1866311"
"12","108","12108",State House District 108,LL,"2016",G5220,N,"51153141","14417236","+25.8591666","-080.1922327"
"12","109","12109",State House District 109,LL,"2016",G5220,N,"71251420","1695082","+25.8582409","-080.2391032"
"12","110","12110",State House District 110,LL,"2016",G5220,N,"37750097","3235205","+25.9005413","-080.3067833"
"12","111","12111",State House District 111,LL,"2016",G5220,N,"57613536","2113932","+25.8171646","-080.2742648"
"12","112","12112",State House District 112,LL,"2016",G5220,N,"51330087","153698798","+25.7062910","-080.1664270"
"12","113","12113",State House District 113,LL,"2016",G5220,N,"31801169","129687342","+25.8144648","-080.1218324"
"12","114","12114",State House District 114,LL,"2016",G5220,N,"93554108","107168035","+25.6212086","-080.2859661"
"12","115","12115",State House District 115,LL,"2016",G5220,N,"102210277","3407388","+25.6924993","-080.3245800"
"12","116","12116",State House District 116,LL,"2016",G5220,N,"63640689","3348465","+25.7425313","-080.3583612"
"12","117","12117",State House District 117,LL,"2016",G5220,N,"110566148","2356946","+25.5133226","-080.4120584"
"12","118","12118",State House District 118,LL,"2016",G5220,N,"74521321","4043135","+25.6651169","-080.4108434"
"12","119","12119",State House District 119,LL,"2016",G5220,N,"65278394","2433750","+25.7152565","-080.4402178"
"12","120","12120",State House District 120,LL,"2016",G5220,N,"4847135192","7920604914","+25.1707427","-081.0952687"
